"Characteristic","Levels","Total"
"Total","","5,360,910 (100.0%)"
"Sex","F","2,729,363 (50.9%)"
"","M","2,631,548 (49.1%)"
"ageYear","mean.sd","41.6 (22.7)"
"","median.iqr","40.5 (35.8083550043212)"
"age_grp","<18","948,892 (17.7%)"
"","18-64","3,434,304 (64.1%)"
"","65-79","741,757 (13.8%)"
"","80+","235,958 (4.4%)"
"vacc_type_comb","AZ_v1","30,736 (0.6%)"
"","AZ_v2","643,471 (12.0%)"
"","AZ_v3","8,691 (0.2%)"
"","PB_v1","163,777 (3.1%)"
"","PB_v2","752,811 (14.0%)"
"","PB_v3","2,268,921 (42.3%)"
"","uv","1,492,456 (27.8%)"
"",NA,"47 (0.0%)"
"simd2020_sc_quintile","1","1,075,272 (20.1%)"
"","2","1,053,321 (19.6%)"
"","3","1,042,264 (19.4%)"
"","4","1,070,800 (20.0%)"
"","5","1,072,677 (20.0%)"
"",NA,"46,577 (0.9%)"
"ur6_2016_name","1 Large Urban Areas","1,870,236 (34.9%)"
"","2 Other Urban Areas","1,940,652 (36.2%)"
"","3 Accessible Small Towns","498,211 (9.3%)"
"","4 Remote Small Towns","256,183 (4.8%)"
"","5 Accessible Rural","485,864 (9.1%)"
"","6 Remote Rural","263,187 (4.9%)"
"","Unknown","46,577 (0.9%)"
"n_risk_gps","0","3,453,902 (64.4%)"
"","1","1,243,443 (23.2%)"
"","2","411,679 (7.7%)"
"","3","151,333 (2.8%)"
"","4","61,681 (1.2%)"
"","5+","38,873 (0.7%)"
"n_tests","0","2,897,089 (54.0%)"
"","1","2,463,821 (46.0%)"
"ave_hh_age","mean.sd","41.5 (19.8)"
"","median.iqr","36.95 (31.3973881613555)"
"n_hh_gp","1","1,493,137 (27.9%)"
"","2","1,425,551 (26.6%)"
"","3-5","2,179,375 (40.7%)"
"","6-10","220,044 (4.1%)"
"","11-30","18,591 (0.3%)"
"","31-100","15,853 (0.3%)"
"","101+","8,360 (0.2%)"
"bmi_cat","Underweight","68,664 (1.3%)"
"","Normal weight","578,743 (10.8%)"
"","Overweight","3,154,741 (58.8%)"
"","Obese","750,568 (14.0%)"
"",NA,"808,194 (15.1%)"
"Q_DIAG_AF","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_ASTHMA","mean.sd","0.1 (0.3)"
"","median.iqr","0 (0)"
"Q_DIAG_BLOOD_CANCER","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CCF","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CEREBRALPALSY","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_CHD","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_CIRRHOSIS","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CONGEN_HD","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_COPD","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_DEMENTIA","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_DIABETES_1","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_DIABETES_2","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_EPILEPSY","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_FRACTURE","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_NEURO","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_PARKINSONS","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_PULM_HYPER","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_PULM_RARE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_PVD","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_RA_SLE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_RESP_CANCER","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_SEV_MENT_ILL","mean.sd","0.1 (0.3)"
"","median.iqr","0 (0)"
"Q_DIAG_SICKLE_CELL","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_STROKE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_VTE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_BMI","mean.sd","28 (6.3)"
"","median.iqr","26.5 (8.05971887208867)"
"Q_HOME_CAT","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_LEARN_CAT","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CKD_LEVEL","mean.sd","0.1 (0.5)"
"","median.iqr","0 (0)"
"EAVE_Smoke","Non Smoker","2,110,556 (39.4%)"
"","Ex Smoker","646,901 (12.1%)"
"","Smoker","1,064,526 (19.9%)"
"","Unknown","1,538,922 (28.7%)"
"",NA,"4 (0.0%)"
"EAVE_BP","No Investigation","1,858,646 (34.7%)"
"","Low","75,502 (1.4%)"
"","Normal","2,855,365 (53.3%)"
"","High","473,208 (8.8%)"
"","Very High","98,185 (1.8%)"
"",NA,"4 (0.0%)"
