"variable","OR","95% CI"
"(Intercept)",0,"(0-19607342039725444240768593110715585745403495189698523955200)"
"vacc_statusv1_0:27",0.865,"(0.437-1.713)"
"vacc_statusv1_28+",0.799,"(0.626-1.021)"
"vacc_statusv2_0:6",0.588,"(0.17-2.033)"
"vacc_statusv2_105+",1.33,"(1.151-1.536)"
"vacc_statusv2_14:20",0.136,"(0.018-1.009)"
"vacc_statusv2_21:27",0.504,"(0.224-1.131)"
"vacc_statusv2_28:34",0.392,"(0.154-0.999)"
"vacc_statusv2_35:41",0.294,"(0.104-0.833)"
"vacc_statusv2_42:48",0.507,"(0.227-1.13)"
"vacc_statusv2_49:55",0.667,"(0.333-1.338)"
"vacc_statusv2_56:62",0.622,"(0.351-1.104)"
"vacc_statusv2_63:69",0.551,"(0.256-1.187)"
"vacc_statusv2_7:13",0.493,"(0.111-2.181)"
"vacc_statusv2_70:76",1.113,"(0.602-2.058)"
"vacc_statusv2_77:83",1.131,"(0.548-2.333)"
"vacc_statusv2_84:90",0.876,"(0.419-1.833)"
"vacc_statusv2_91:97",0.813,"(0.371-1.783)"
"vacc_statusv2_98:104",0.908,"(0.444-1.859)"
"vacc_statusv3_0:6",1.349,"(0.88-2.067)"
"vacc_statusv3_105+",0.876,"(0.734-1.045)"
"vacc_statusv3_14:20",0.664,"(0.448-0.985)"
"vacc_statusv3_21:27",0.581,"(0.413-0.816)"
"vacc_statusv3_28:34",0.68,"(0.528-0.875)"
"vacc_statusv3_35:41",0.634,"(0.501-0.802)"
"vacc_statusv3_42:48",0.679,"(0.555-0.83)"
"vacc_statusv3_49:55",0.628,"(0.528-0.746)"
"vacc_statusv3_56:62",0.74,"(0.62-0.883)"
"vacc_statusv3_63:69",0.713,"(0.58-0.876)"
"vacc_statusv3_7:13",0.822,"(0.515-1.31)"
"vacc_statusv3_70:76",0.645,"(0.509-0.818)"
"vacc_statusv3_77:83",0.768,"(0.606-0.972)"
"vacc_statusv3_84:90",0.789,"(0.612-1.017)"
"vacc_statusv3_91:97",0.923,"(0.704-1.211)"
"vacc_statusv3_98:104",0.844,"(0.632-1.129)"
"subject_sexMale",1.177,"(1.088-1.273)"
"simd2020_sc_quintile",0.986,"(0.959-1.014)"
"n_risk_gps1",0.94,"(0.858-1.029)"
"n_risk_gps2",0.875,"(0.744-1.029)"
"n_risk_gps3",0.599,"(0.412-0.872)"
"n_risk_gps4",0.823,"(0.469-1.444)"
"n_risk_gps5+",0.135,"(0.019-0.989)"
"s(days).1",125266.222,"(0-1026561012839770220268253432308291402787069809959964921456393585862293566418088449636363665408)"
"s(days).2",0,"(0-179065904489428320071854790249969204931787927403684722021615514796966750731181189162814406656)"
"s(days).3",0,"(0-9185554994197170)"
"s(days).4",0,"(0-264888717009320108112815794400846998929408)"
"s(days).5",16.706,"(0-81355783224076464)"
"s(days).6",4989666370645553,"(0-2744658381692573138431971329007572559160910348603144070105193718865705716598964224)"
"s(days).7",0,"(0-0.459)"
"s(days).8",984065596690359787213914432086770726566151140173135389230710652928,"(0-822777288128346270546544562934276821901834986005266744690805343868519835411468352630745177343301641357003919575579619602018480663482880510512226442583539027910787689731671156565510895691098014897648278087982301468644058971710641486735510904865277426213685880149686451105161270018939483782856655434858627072)"
"s(days).9",38718218619.685,"(0-350913699153280618350173404867440354494259638592655509754361917740291149877756527535027206196775751442724544857551757875013373281027683647866409376503631446016)"
"s(age).1",0.501,"(0.242-1.037)"
"s(age).2",0.947,"(0.236-3.797)"
"s(age).3",1.178,"(0.765-1.813)"
"s(age).4",0.665,"(0.3-1.477)"
"s(age).5",0.71,"(0.409-1.231)"
"s(age).6",0.742,"(0.379-1.454)"
"s(age).7",0.829,"(0.462-1.489)"
"s(age).8",1.316,"(0.061-28.47)"
"s(age).9",1.17,"(0.478-2.862)"
