"variable","OR","95% CI"
"(Intercept)",0.016,"(0.012-0.021)"
"vacc_statusv1_0:27",0.747,"(0.584-0.957)"
"vacc_statusv1_28+",1.005,"(0.922-1.096)"
"vacc_statusv2_0:6",0.688,"(0.48-0.986)"
"vacc_statusv2_105+",1.344,"(1.276-1.417)"
"vacc_statusv2_14:20",0.334,"(0.229-0.485)"
"vacc_statusv2_21:27",0.261,"(0.174-0.392)"
"vacc_statusv2_28:34",0.461,"(0.334-0.636)"
"vacc_statusv2_35:41",0.426,"(0.303-0.598)"
"vacc_statusv2_42:48",0.455,"(0.335-0.618)"
"vacc_statusv2_49:55",0.631,"(0.473-0.842)"
"vacc_statusv2_56:62",0.631,"(0.489-0.815)"
"vacc_statusv2_63:69",0.547,"(0.407-0.736)"
"vacc_statusv2_7:13",0.491,"(0.34-0.707)"
"vacc_statusv2_70:76",0.737,"(0.564-0.962)"
"vacc_statusv2_77:83",0.891,"(0.698-1.137)"
"vacc_statusv2_84:90",0.743,"(0.577-0.958)"
"vacc_statusv2_91:97",1.024,"(0.821-1.277)"
"vacc_statusv2_98:104",0.935,"(0.76-1.149)"
"vacc_statusv3_0:6",1.099,"(1.003-1.204)"
"vacc_statusv3_105+",0.809,"(0.739-0.885)"
"vacc_statusv3_14:20",0.46,"(0.417-0.508)"
"vacc_statusv3_21:27",0.52,"(0.473-0.571)"
"vacc_statusv3_28:34",0.543,"(0.497-0.593)"
"vacc_statusv3_35:41",0.568,"(0.521-0.619)"
"vacc_statusv3_42:48",0.647,"(0.596-0.702)"
"vacc_statusv3_49:55",0.608,"(0.56-0.659)"
"vacc_statusv3_56:62",0.683,"(0.626-0.745)"
"vacc_statusv3_63:69",0.72,"(0.654-0.793)"
"vacc_statusv3_7:13",0.652,"(0.593-0.717)"
"vacc_statusv3_70:76",0.764,"(0.691-0.845)"
"vacc_statusv3_77:83",0.724,"(0.65-0.807)"
"vacc_statusv3_84:90",0.821,"(0.735-0.917)"
"vacc_statusv3_91:97",0.748,"(0.66-0.847)"
"vacc_statusv3_98:104",0.755,"(0.658-0.866)"
"subject_sexMale",1.05,"(1.018-1.082)"
"simd2020_sc_quintile",0.968,"(0.958-0.979)"
"n_risk_gps1",0.954,"(0.922-0.988)"
"n_risk_gps2",0.882,"(0.829-0.939)"
"n_risk_gps3",0.844,"(0.747-0.954)"
"n_risk_gps4",0.731,"(0.58-0.921)"
"n_risk_gps5+",0.637,"(0.453-0.895)"
"s(days).1",67262.652,"(11238.086-402583.18)"
"s(days).2",4069.028,"(27.419-603848.944)"
"s(days).3",967.955,"(565.289-1657.448)"
"s(days).4",3163.849,"(89.206-112211.189)"
"s(days).5",0.001,"(0.001-0.002)"
"s(days).6",0.004,"(0-0.06)"
"s(days).7",0.02,"(0.015-0.027)"
"s(days).8",0,"(0-1.59)"
"s(days).9",0,"(0-0)"
"s(age).1",0.465,"(0.306-0.708)"
"s(age).2",0.992,"(0.273-3.611)"
"s(age).3",1.178,"(0.918-1.511)"
"s(age).4",0.738,"(0.343-1.586)"
"s(age).5",0.916,"(0.62-1.353)"
"s(age).6",0.815,"(0.443-1.499)"
"s(age).7",0.709,"(0.431-1.167)"
"s(age).8",0.813,"(0.046-14.379)"
"s(age).9",1.379,"(0.653-2.913)"
