"variable","OR","95% CI"
"(Intercept)",2.67,"(2.611-2.73)"
"vacc_status_2v1",1.009,"(0.974-1.045)"
"vacc_status_2v2_0:13",0.58,"(0.526-0.639)"
"vacc_status_2v2_14+",0.947,"(0.928-0.967)"
"vacc_status_2v3_0:13",0.699,"(0.679-0.719)"
"vacc_status_2v3_14+",0.444,"(0.434-0.454)"
"subject_sexMale",1.102,"(1.089-1.116)"
"simd2020_sc_quintile2",0.978,"(0.96-0.997)"
"simd2020_sc_quintile3",0.9,"(0.882-0.917)"
"simd2020_sc_quintile4",0.879,"(0.862-0.895)"
"simd2020_sc_quintile5",0.916,"(0.899-0.934)"
"n_risk_gps1",0.955,"(0.942-0.969)"
"n_risk_gps2",0.876,"(0.855-0.898)"
"n_risk_gps3",0.808,"(0.772-0.846)"
"n_risk_gps4",0.736,"(0.677-0.801)"
"n_risk_gps5+",0.699,"(0.622-0.785)"
"s(days).1",1.028,"(0.973-1.086)"
"s(days).2",2.969,"(2.498-3.53)"
"s(days).3",1.189,"(1.128-1.252)"
"s(days).4",1.842,"(1.603-2.117)"
"s(days).5",0.543,"(0.515-0.574)"
"s(days).6",0.358,"(0.31-0.412)"
"s(days).7",2.979,"(2.79-3.181)"
"s(days).8",1.379,"(0.992-1.918)"
"s(days).9",1.033,"(0.906-1.178)"
"s(age).1",1.765,"(1.225-2.543)"
"s(age).2",230.848,"(29.709-1793.745)"
"s(age).3",0.274,"(0.17-0.443)"
"s(age).4",36.941,"(9.52-143.352)"
"s(age).5",4.129,"(2.271-7.505)"
"s(age).6",21.981,"(7.12-67.861)"
"s(age).7",5.177,"(2.556-10.483)"
"s(age).8",0,"(0-0)"
"s(age).9",18.115,"(7.174-45.744)"
