"variable","OR","95% CI"
"(Intercept)",0,"(0-0)"
"vacc_status_2v1",0.839,"(0.663-1.061)"
"vacc_status_2v2_0:13",0.593,"(0.228-1.543)"
"vacc_status_2v2_14+",1.16,"(1.01-1.332)"
"vacc_status_2v3_0:13",1.051,"(0.761-1.451)"
"vacc_status_2v3_14+",0.697,"(0.616-0.789)"
"subject_sexMale",1.159,"(1.073-1.253)"
"simd2020_sc_quintile",0.983,"(0.956-1.011)"
"n_risk_gps1",0.951,"(0.869-1.041)"
"n_risk_gps2",0.896,"(0.763-1.053)"
"n_risk_gps3",0.629,"(0.433-0.914)"
"n_risk_gps4",0.834,"(0.475-1.464)"
"n_risk_gps5+",0.136,"(0.019-0.997)"
"s(days).1",0,"(0-0)"
"s(days).2",0,"(0-0)"
"s(days).3",0,"(0-0)"
"s(days).4",0,"(0-0)"
"s(days).5",8327132634764204088505580556283002555305473983118172068984170112501059257237676550223894032693060215412168840531108912668798280907124023945784692646441749294612480,"(13029161243177768643170673641914368-5321995531620798929503576246463061422151673577320211002804578487826970599068572831356171567363746656246501695615220495018103561949759434466766204624950970805226508519664612111033493912188417825669162118151640615439301372819070278305350955294552885273765193125789671491911399785399889239736320)"
"s(days).6",Inf,"(Inf-Inf)"
"s(days).7",0,"(0-0)"
"s(days).8",Inf,"(Inf-Inf)"
"s(days).9",Inf,"(Inf-Inf)"
"s(age).1",0.297,"(0.122-0.72)"
"s(age).2",0.636,"(0.088-4.592)"
"s(age).3",1.671,"(1.023-2.729)"
"s(age).4",0.486,"(0.156-1.508)"
"s(age).5",0.54,"(0.266-1.096)"
"s(age).6",0.526,"(0.208-1.335)"
"s(age).7",0.634,"(0.284-1.413)"
"s(age).8",1.85,"(0.022-152.277)"
"s(age).9",1.804,"(0.525-6.201)"
